replicate_id,bigvgan_base_24khz_100band,bigvgan_v2_24khz_100band_256x,bridgevoc,comvo_base,comvo_large,flow2gan,freev,griffin_lim,hifigan_universal_v1,periodwave_24k,periodwave_turbo,rfwave_libritts_24k,rndvoc,vocos_mel_24khz,wavefm
67,70.84907531738281,72.3560791015625,74.64855194091797,72.43020629882812,69.71068572998047,75.27757263183594,65.13187408447266,79.23560333251953,65.6878662109375,65.15921020507812,72.48523712158203,63.64669799804688,76.13970947265625,74.58411407470703,65.93132781982422
68,70.79624938964844,72.3643569946289,74.66376495361328,72.39960479736328,69.70245361328125,75.25666046142578,64.9063720703125,79.32471466064453,65.5869140625,65.15532684326172,72.44489288330078,63.52806091308594,76.2075424194336,74.54283142089844,65.97626495361328
69,71.12263488769531,72.64612579345703,74.94549560546875,72.69152069091797,69.97004699707031,75.65597534179688,64.85397338867188,79.58657836914062,65.6848373413086,65.33258819580078,72.82506561279297,63.7459602355957,76.38431549072266,74.90159606933594,66.32366943359375
70,70.73039245605469,72.30095672607422,74.5552749633789,72.2706298828125,69.58769226074219,75.28675842285156,64.68115997314453,79.13290405273438,65.3134994506836,65.0066909790039,72.4412841796875,63.53355407714844,76.00667572021484,74.4452896118164,65.91012573242188
71,70.78276062011719,72.37904357910156,74.7103042602539,72.4071044921875,69.69068145751953,75.28296661376953,64.00825500488281,79.4187240600586,65.13031768798828,65.13916015625,72.47159576416016,63.7292366027832,76.25996398925781,74.53962707519531,66.07648468017578
72,71.08229064941406,72.60735321044922,74.79364013671875,72.72406768798828,69.96224212646484,75.577880859375,65.34693908691406,79.48050689697266,65.81603240966797,65.24684143066406,72.73127746582031,63.65564727783203,76.22574615478516,74.87049865722656,66.25704193115234
73,70.96053314208984,72.51719665527344,74.73857116699219,72.59033203125,69.85665893554688,75.46044921875,65.31580352783203,79.42768096923828,65.54883575439453,65.18809509277344,72.63046264648438,63.5579719543457,76.21966552734375,74.74690246582031,66.22908782958984
74,70.90594482421875,72.40354919433594,74.65902709960938,72.46936798095703,69.76518249511719,75.30584716796875,65.12743377685547,79.3088607788086,65.61111450195312,65.13237762451172,72.50709533691406,63.54694747924805,76.11913299560547,74.66658782958984,65.92304229736328
75,70.99775695800781,72.49259948730469,74.80070495605469,72.58238983154297,69.85907745361328,75.5111312866211,64.82333374023438,79.37205505371094,65.6811752319336,65.20341491699219,72.66422271728516,63.75468826293945,76.2798843383789,74.76528930664062,66.15035247802734
76,70.8778076171875,72.5264892578125,74.72486877441406,72.50646209716797,69.75273895263672,75.43061828613281,65.22764587402344,79.32426452636719,65.5331802368164,65.12923431396484,72.60347747802734,63.33382034301758,76.15331268310547,74.69117736816406,66.16378784179688
77,70.80903625488281,72.48986053466797,74.71344757080078,72.50702667236328,69.77053833007812,75.42418670654297,65.29598999023438,79.30770874023438,65.6076431274414,65.1211166381836,72.63323974609375,63.62305068969727,76.19349670410156,74.67918395996094,65.91583251953125
78,70.77629852294922,72.3115463256836,74.59596252441406,72.36083984375,69.67254638671875,75.32121276855469,64.73446655273438,79.1540756225586,65.32624816894531,65.0574951171875,72.50848388671875,63.552223205566406,76.07129669189453,74.48674011230469,65.9377670288086
79,70.82894897460938,72.46607208251953,74.72666931152344,72.42190551757812,69.7686767578125,75.37202453613281,64.39701843261719,79.34319305419922,65.41262817382812,65.10909271240234,72.59165954589844,63.72769165039063,76.29806518554688,74.53624725341797,66.04077911376953
80,70.8228759765625,72.38616180419922,74.59214782714844,72.41030883789062,69.72457885742188,75.2818374633789,65.2192611694336,79.17737579345703,65.6205062866211,65.07167053222656,72.4651870727539,63.30182647705078,76.0553970336914,74.6057357788086,66.00223541259766
81,70.74459838867188,72.39427185058594,74.62129974365234,72.2830581665039,69.5863265991211,75.34213256835938,64.155029296875,79.28394317626953,65.19829559326172,64.99459075927734,72.50234985351562,63.52325820922852,76.14492797851562,74.4456558227539,65.9775619506836
82,70.90005493164062,72.50836944580078,74.71798706054688,72.53990936279297,69.76101684570312,75.47811126708984,64.83258819580078,79.31580352783203,65.53096771240234,65.09053802490234,72.6155776977539,63.49350357055664,76.17554473876953,74.7032241821289,66.15011596679688
83,70.7794418334961,72.38207244873047,74.69310760498047,72.40897369384766,69.70213317871094,75.3285140991211,64.49071502685547,79.1830825805664,65.41332244873047,65.03599548339844,72.51531982421875,63.7642707824707,76.2574691772461,74.41185760498047,65.96891021728516
84,70.94097900390625,72.4718017578125,74.7276611328125,72.61536407470703,69.86744689941406,75.39584350585938,65.28942108154297,79.44375610351562,65.73429107666016,65.18540954589844,72.58663177490234,63.52395248413086,76.16828918457031,74.75213623046875,66.19795989990234
85,70.9039306640625,72.47561645507812,74.74655151367188,72.46978759765625,69.74307250976562,75.46184539794922,64.81925964355469,79.3367919921875,65.6141586303711,65.14482879638672,72.60569763183594,63.62709426879883,76.23165130615234,74.63763427734375,66.12964630126953
86,70.8525161743164,72.43389892578125,74.6327133178711,72.500244140625,69.7745132446289,75.39665985107422,65.25778198242188,79.30294036865234,65.71685028076172,65.09230041503906,72.56890869140625,63.39906311035156,76.0804443359375,74.65925598144531,65.97220611572266
87,70.69152069091797,72.2188720703125,74.51848602294922,72.33997344970703,69.6475830078125,75.16047668457031,64.94869995117188,79.13896942138672,65.48223114013672,65.05413818359375,72.35665893554688,63.47964859008789,76.03273010253906,74.4158935546875,65.75239562988281
88,70.92792510986328,72.47787475585938,74.70571899414062,72.5521240234375,69.79817962646484,75.4765625,65.30704498291016,79.31159973144531,65.65990447998047,65.18277740478516,72.64535522460938,63.58346176147461,76.14994812011719,74.7148208618164,66.0779037475586
89,70.7464599609375,72.32898712158203,74.67561340332031,72.45204162597656,69.706787109375,75.24788665771484,65.04694366455078,79.30171966552734,65.62955474853516,65.15599822998047,72.40335083007812,63.50556564331055,76.1675796508789,74.57836151123047,66.0425033569336
